ID,Title,Author,Year,Format,File
1,Di Tanah Lada,Ziggy Zezsyazeoviennazabrizkie,2015,PDF,ebook/Di Tanah Lada (SFILE.MOBI).pdf
2,Keajaiban Toko Kelontong Namiya,Keigo Higashino,2020,PDF,ebook/Toko Kelontong Namiya.pdf
3,Jakarta Sebelum Pagi,Ziggy Zezsyazeoviennazabrizkie,2017,PDF,ebook/Jakarta Sebelum Pagi.pdf
4,Perempuan di Titik Nol, Nawal El Saadawi,2002,PDF,ebook/Perempuan di Titik Nol.pdf
5,Dunia Sophie,Joestein Gaarder,2010,PDF,ebook/Dunia Sophie.pdf
6,Parable,Brian Khrisna,2023,PDF,ebook/Parable.pdf
7,Sisi Tergelap Surga,Brian Khrisna,2023,PDF,ebook/Sisi Tergelap Surga.pdf
8,The Lost Library,Rebecca Stead,2023,PDF,ebook/The Lost Library.pdf
9,The Midnight Library,Matt Haig,2020,PDF,ebook/The Midnight Library.pdf
10,Aroma Karsa,Dee Lestari,2008,PDF,ebook/Aroma Karsa.pdf
11,Resume,Kayla Shakura Putri Ardin 015,2025,PDF,ebook/Kayla Shakura Putri Ardin_13040123120015_Resume.pdf
